Bigram                        		Count          		Probabiltites
Richard W.                    		1.0042528      		3.424445E-5
W. Lock                       		0.21753784     		7.417917E-6
Lock ,                        		0.21753784     		7.417917E-6
, retired                     		2.6153846      		8.918314E-5
retired vice                  		0.21753784     		7.417917E-6
vice president                		11.25          		3.8361864E-4
president and                 		46.0           		0.001568574
and treasurer                 		1.0042528      		3.424445E-5
treasurer of                  		0.21753784     		7.417917E-6
of Owens-Illinois             		0.21753784     		7.417917E-6
Owens-Illinois Inc.           		0.21753784     		7.417917E-6
Inc. ,                        		0.0            		0.0
, was                         		52.0           		0.0017731705
was named                     		43.0           		0.0014662757
named a                       		8.380953       		2.8578576E-4
a director                    		25.0           		8.524858E-4
director of                   		17.5           		5.967401E-4
of this                       		0.0            		0.0
this transportation           		1.0042528      		3.424445E-5
transportation industry       		0.21753784     		7.417917E-6
industry supplier             		0.21753784     		7.417917E-6
supplier ,                    		0.21753784     		7.417917E-6
, increasing                  		4.117647       		1.4040944E-4
increasing its                		1.8874773      		6.4361906E-5
its board                     		35.0           		0.0011934802
board to                      		30.0           		0.001022983
to six                        		4.0147057      		1.368992E-4
six members                   		1.0042528      		3.424445E-5
members .                     		17.0           		5.796904E-4
. John                        		5.8333335      		1.9891337E-4
John J.                       		1.0042528      		3.424445E-5
J. Phelan                     		0.21753784     		7.417917E-6
Phelan Jr.                    		0.21753784     		7.417917E-6
Jr. ,                         		18.666666      		6.365227E-4
, chairman                    		0.0            		0.0
chairman of                   		0.0            		0.0
of the                        		0.0            		0.0
the Big                       		2.6153846      		8.918314E-5
Big Board                     		4.0147057      		1.368992E-4
Board ,                       		1.8874773      		6.4361906E-5
, asserts                     		0.21753784     		7.417917E-6
asserts that                  		0.21753784     		7.417917E-6
that ``                       		5.3333335      		1.8186365E-4
`` 1988                       		0.21753784     		7.417917E-6
1988 and                      		0.21753784     		7.417917E-6
and 1989                      		0.21753784     		7.417917E-6
1989 have                     		0.21753784     		7.417917E-6
have been                     		5.3333335      		1.8186365E-4
been two                      		0.21753784     		7.417917E-6
two of                        		0.21753784     		7.417917E-6
of the                        		0.0            		0.0
the least                     		1.0042528      		3.424445E-5
least volatile                		0.21753784     		7.417917E-6
volatile years                		0.21753784     		7.417917E-6
years in                      		0.21753784     		7.417917E-6
in the                        		46.5           		0.0015856237
the last                      		2.6153846      		8.918314E-5
last 30                       		0.21753784     		7.417917E-6
30 or                         		0.21753784     		7.417917E-6
or 40                         		0.21753784     		7.417917E-6
40 years                      		1.0042528      		3.424445E-5
years .                       		3.9230769      		1.337747E-4
. ''                          		65.0           		0.0022164632
'' In                         		2.6153846      		8.918314E-5
In January                    		1.0042528      		3.424445E-5
January ,                     		1.8874773      		6.4361906E-5
, American                    		0.21753784     		7.417917E-6
American Medical              		1.0042528      		3.424445E-5
Medical brought               		0.21753784     		7.417917E-6
brought in                    		0.21753784     		7.417917E-6
in a                          		30.0           		0.001022983
a new                         		17.5           		5.967401E-4
new chief                     		1.8874773      		6.4361906E-5
chief executive               		0.0            		0.0
executive officer             		115.0          		0.0039214347
officer ,                     		57.0           		0.0019436678
, Richard                     		1.0042528      		3.424445E-5
Richard A.                    		0.21753784     		7.417917E-6
A. Gilleland                  		0.21753784     		7.417917E-6
Gilleland ,                   		0.21753784     		7.417917E-6
, 45                          		1.8874773      		6.4361906E-5
45 ,                          		0.21753784     		7.417917E-6
, who                         		64.0           		0.0021823638
who will                      		9.529411       		3.2494753E-4
will remain                   		4.117647       		1.4040944E-4
remain as                     		0.21753784     		7.417917E-6
as chairman                   		15.6           		5.319512E-4
chairman ,                    		46.5           		0.0015856237
, president                   		0.0            		0.0
president and                 		46.0           		0.001568574
and chief                     		0.0            		0.0
chief executive               		0.0            		0.0
executive .                   		8.380953       		2.8578576E-4
. Ralph                       		0.21753784     		7.417917E-6
Ralph T.                      		0.21753784     		7.417917E-6
T. Linsley                    		0.21753784     		7.417917E-6
Linsley ,                     		0.21753784     		7.417917E-6
, vice                        		17.0           		5.796904E-4
vice chairman                 		0.0            		0.0
chairman of                   		0.0            		0.0
of Eagle                      		1.0042528      		3.424445E-5
Eagle ,                       		1.0042528      		3.424445E-5
, will                        		8.8            		3.0007501E-4
will become                   		9.529411       		3.2494753E-4
become vice                   		1.8874773      		6.4361906E-5
vice chairman                 		0.0            		0.0
chairman of                   		0.0            		0.0
of Webster\/Eagle             		0.21753784     		7.417917E-6
Webster\/Eagle .              		1.0042528      		3.424445E-5
. Orkem                       		0.21753784     		7.417917E-6
Orkem declined                		0.21753784     		7.417917E-6
declined to                   		1.8874773      		6.4361906E-5
to give                       		5.3333335      		1.8186365E-4
give details                  		0.21753784     		7.417917E-6
details of                    		0.21753784     		7.417917E-6
of its                        		30.0           		0.001022983
its offer                     		2.6153846      		8.918314E-5
offer ,                       		1.0042528      		3.424445E-5
, saying                      		4.0147057      		1.368992E-4
saying only                   		0.21753784     		7.417917E-6
only that                     		0.21753784     		7.417917E-6
that the                      		53.0           		0.00180727
the bid                       		1.0042528      		3.424445E-5
bid will                      		0.21753784     		7.417917E-6
