Bigram                        		Count          		Probabiltites
Richard W.                    		2.0            		0.0952381
W. Lock                       		1.0            		0.06666667
Lock ,                        		1.0            		1.0
, retired                     		4.0            		0.0019762847
retired vice                  		1.0            		0.11111111
vice president                		11.0           		0.19642857
president and                 		45.0           		0.5
and treasurer                 		2.0            		0.0029542097
treasurer of                  		1.0            		0.33333334
of Owens-Illinois             		1.0            		0.0010660981
Owens-Illinois Inc.           		1.0            		1.0
Inc. ,                        		30.0           		0.5882353
, was                         		51.0           		0.025197629
was named                     		42.0           		0.24
named a                       		10.0           		0.1754386
a director                    		24.0           		0.041237112
director of                   		20.0           		0.45454547
of this                       		53.0           		0.0565032
this transportation           		2.0            		0.021978023
transportation industry       		1.0            		0.2
industry supplier             		1.0            		0.083333336
supplier ,                    		1.0            		1.0
, increasing                  		13.0           		0.006422925
increasing its                		3.0            		0.21428572
its board                     		34.0           		0.2635659
board to                      		19.0           		0.05191257
to six                        		5.0            		0.00770416
six members                   		2.0            		0.22222222
members .                     		16.0           		0.4
. John                        		9.0            		0.009009009
John J.                       		2.0            		0.046511628
J. Phelan                     		1.0            		0.03846154
Phelan Jr.                    		1.0            		0.33333334
Jr. ,                         		27.0           		0.96428573
, chairman                    		187.0          		0.092391305
chairman of                   		225.0          		0.4061372
of the                        		266.0          		0.2835821
the Big                       		4.0            		0.002797203
Big Board                     		5.0            		0.8333333
Board ,                       		3.0            		0.16666667
, asserts                     		1.0            		4.9407117E-4
asserts that                  		1.0            		1.0
that ``                       		7.0            		0.027237354
`` 1988                       		1.0            		0.004032258
1988 and                      		1.0            		0.33333334
and 1989                      		1.0            		0.0014771048
1989 have                     		1.0            		0.5
have been                     		7.0            		0.12068965
been two                      		1.0            		0.02631579
two of                        		1.0            		0.033333335
of the                        		266.0          		0.2835821
the least                     		2.0            		0.0013986015
least volatile                		1.0            		0.16666667
volatile years                		1.0            		1.0
years in                      		1.0            		0.02
in the                        		92.0           		0.2562674
the last                      		4.0            		0.002797203
last 30                       		1.0            		0.030303031
30 or                         		1.0            		0.33333334
or 40                         		1.0            		0.017857144
40 years                      		2.0            		0.6666667
years .                       		6.0            		0.12
. ''                          		64.0           		0.06406406
'' In                         		4.0            		0.016666668
In January                    		2.0            		0.045454547
January ,                     		3.0            		0.5
, American                    		1.0            		4.9407117E-4
American Medical              		2.0            		0.09090909
Medical brought               		1.0            		0.5
brought in                    		1.0            		0.25
in a                          		23.0           		0.06406685
a new                         		20.0           		0.03436426
new chief                     		3.0            		0.045454547
chief executive               		164.0          		0.86315787
executive officer             		114.0          		0.6031746
officer ,                     		56.0           		0.4148148
, Richard                     		2.0            		9.881423E-4
Richard A.                    		1.0            		0.04761905
A. Gilleland                  		1.0            		0.04761905
Gilleland ,                   		1.0            		1.0
, 45                          		3.0            		0.0014822134
45 ,                          		1.0            		0.2
, who                         		63.0           		0.031126482
who will                      		8.0            		0.08163265
will remain                   		13.0           		0.114035085
remain as                     		1.0            		0.04347826
as chairman                   		25.0           		0.16666667
chairman ,                    		92.0           		0.16606498
, president                   		35.0           		0.01729249
president and                 		45.0           		0.5
and chief                     		157.0          		0.23190546
chief executive               		164.0          		0.86315787
executive .                   		10.0           		0.052910052
. Ralph                       		1.0            		0.001001001
Ralph T.                      		1.0            		0.25
T. Linsley                    		1.0            		0.1
Linsley ,                     		1.0            		1.0
, vice                        		16.0           		0.007905139
vice chairman                 		43.0           		0.76785713
chairman of                   		225.0          		0.4061372
of Eagle                      		2.0            		0.0021321962
Eagle ,                       		2.0            		1.0
, will                        		21.0           		0.010375494
will become                   		8.0            		0.07017544
become vice                   		3.0            		0.27272728
vice chairman                 		43.0           		0.76785713
chairman of                   		225.0          		0.4061372
of Webster\/Eagle             		1.0            		0.0010660981
Webster\/Eagle .              		2.0            		1.0
. Orkem                       		1.0            		0.001001001
Orkem declined                		1.0            		1.0
declined to                   		3.0            		0.6
to give                       		7.0            		0.010785825
give details                  		1.0            		0.083333336
details of                    		1.0            		0.5
of its                        		29.0           		0.030916844
its offer                     		4.0            		0.031007752
offer ,                       		2.0            		0.06666667
, saying                      		5.0            		0.0024703557
saying only                   		1.0            		0.1
only that                     		1.0            		0.0625
that the                      		52.0           		0.20233463
the bid                       		2.0            		0.0013986015
bid will                      		1.0            		0.03448276
will be                       		24.0           		0.21052632
be submitted                  		1.0            		0.009259259
submitted for                 		1.0            		1.0
for approval                  		1.0            		0.0064102565
approval by                   		2.0            		0.33333334
by the                        		43.0           		0.31851852
the board                     		144.0          		0.1006993
board of                      		27.0           		0.07377049
of the                        		266.0          		0.2835821
the British                   		5.0            		0.0034965035
British company               		1.0            		0.071428575
company .                     		22.0           		0.14965986
. But                         		26.0           		0.026026025
But in                        		1.0            		0.03448276
in 1935                       		1.0            		0.0027855153
1935 ,                        		1.0            		1.0
, when                        		11.0           		0.0054347827
when Congress                 		1.0            		0.035714287
Congress was                  		2.0            		0.22222222
was trying                    		1.0            		0.0057142857
trying to                     		8.0            		1.0
to find                       		3.0            		0.004622496
find someone                  		1.0            		0.33333334
someone or                    		1.0            		0.5
or something                  		1.0            		0.017857144
something to                  		1.0            		0.14285715
to blame                      		1.0            		0.0015408321
blame for                     		1.0            		1.0
for the                       		40.0           		0.25641027
the Great                     		1.0            		6.993007E-4
Great Depression              		1.0            		0.25
Depression ,                  		1.0            		1.0
, it                          		12.0           		0.0059288535
it decided                    		1.0            		0.010204081
decided to                    		4.0            		0.5714286
to drop                       		2.0            		0.0030816642
drop both                     		1.0            		0.11111111
both the                      		2.0            		0.33333334
the secretary                 		2.0            		0.0013986015
secretary and                 		1.0            		0.16666667
and the                       		40.0           		0.059084196
the comptroller               		2.0            		0.0013986015
comptroller from              		1.0            		0.5
from the                      		22.0           		0.2682927
the board                     		144.0          		0.1006993
board .                       		57.0           		0.1557377
. Treasury                    		1.0            		0.001001001
Treasury Undersecretary       		1.0            		0.083333336
Undersecretary David          		1.0            		0.5
David Mulford                 		1.0            		0.05263158
Mulford ,                     		1.0            		1.0
, for                         		6.0            		0.0029644268
for instance                  		1.0            		0.0064102565
instance ,                    		1.0            		1.0
, was                         		51.0           		0.025197629
was at                        		2.0            		0.011428571
